Plasmid_1	Plasmid_2	Plasmid_3	Plasmid_4	Plasmid_5	Plasmid_6	Plasmid_7	Plasmid_8	Plasmid_9	Plasmid_10	Plasmid_11	Plasmid_12	Plasmid_13	Plasmid_14	Plasmid_15	Plasmid_16	Plasmid_17	Plasmid_18	Plasmid_19	Plasmid_20	Plasmid_21	Plasmid_22	Plasmid_23	Plasmid_24	Plasmid_25	Plasmid_26	Plasmid_27	Plasmid_28	Plasmid_29	Plasmid_30	Plasmid_31	Plasmid_32	Plasmid_33	Plasmid_34	Plasmid_35	Plasmid_36	Plasmid_37	Plasmid_38	Plasmid_39	Plasmid_40	Plasmid_41	Plasmid_42	Plasmid_43	Plasmid_44	Plasmid_45	Plasmid_46	Plasmid_47	Plasmid_48	Plasmid_49	Plasmid_50	Plasmid_51	Plasmid_52	Plasmid_53	Plasmid_54	Plasmid_55	Plasmid_56	Plasmid_57	Plasmid_58	Plasmid_59	Plasmid_60	Plasmid_61	Plasmid_62	Plasmid_63	Plasmid_64	Plasmid_65	Plasmid_66	Plasmid_67	Plasmid_68	Plasmid_69	Plasmid_70	Plasmid_71	Plasmid_72	Plasmid_73	Plasmid_74	Plasmid_75	Plasmid_76	Plasmid_77	Plasmid_78	Plasmid_79	Plasmid_80
4	1	1	1	2	4	10	3	8	3	17	7	6	3	2	16	23	7	9	0	4	1	4	1	2	2	4	4	19	3	6	5	13	0	0	10	2	0	10	9	0	8	1	1	4	17	6	1	2	10	1	7	1	4	3	10	10	5	7	4	2	1	2	2	6	19	4	0	3	1	2	3	1	8	4	1	0	1	1	4
2	3	1	0	2	2	8	2	8	6	16	8	3	2	5	8	22	5	5	0	0	0	0	2	1	2	3	2	15	3	8	9	9	0	0	5	11	1	3	11	6	3	5	2	6	14	11	1	0	7	3	8	2	6	5	5	11	3	3	2	3	4	5	5	2	12	5	0	2	1	3	3	3	1	4	1	1	3	1	2
1	1	0	1	0	2	13	2	9	1	23	5	2	1	2	12	25	4	10	0	3	0	3	0	5	0	7	2	19	2	7	11	7	0	0	6	5	0	10	4	7	8	3	0	4	20	9	2	1	8	1	6	3	3	6	8	14	3	2	1	7	3	0	3	5	8	4	0	3	1	0	3	3	1	1	6	0	1	0	1
1	3	0	0	2	4	6	3	13	5	13	11	5	0	2	13	17	6	11	0	1	0	1	1	6	4	6	4	12	1	6	16	10	1	0	10	6	0	4	7	1	5	6	1	5	20	10	0	0	7	0	8	4	7	7	2	8	2	4	2	5	6	1	2	6	5	7	0	0	1	1	5	3	1	3	0	0	3	0	1
0	2	0	1	0	3	7	1	14	2	11	3	3	3	3	14	19	1	5	0	2	0	2	0	4	1	4	1	11	4	8	12	9	0	0	3	6	0	5	6	1	6	4	1	9	11	8	0	1	4	0	7	5	6	2	3	18	7	6	4	3	2	4	2	2	14	5	2	3	0	0	4	1	4	2	2	0	2	0	0
1	0	0	3	0	4	7	0	5	0	12	8	1	1	3	14	21	1	18	0	8	2	3	0	3	0	2	3	16	4	9	7	13	1	0	2	4	0	3	6	0	4	0	1	4	11	5	0	1	8	2	10	2	6	7	0	11	3	5	3	4	2	4	1	5	13	3	2	2	1	1	0	5	2	5	1	0	0	0	1
0	0	0	3	1	2	4	1	9	4	10	9	1	1	3	9	14	7	13	0	3	1	2	0	1	0	5	5	13	1	7	12	6	0	0	3	8	0	3	8	3	5	6	2	8	8	2	0	0	7	3	7	1	3	7	1	9	3	11	2	1	3	0	1	5	12	3	0	0	1	0	5	0	2	2	4	0	0	0	0
0	4	0	2	1	0	7	1	9	5	17	7	3	1	5	11	21	5	8	0	2	1	1	0	3	3	7	9	13	1	9	16	9	2	0	3	7	0	2	8	2	4	3	1	7	8	2	1	0	8	1	12	3	3	9	2	9	1	2	4	0	6	5	0	1	13	4	0	0	0	0	5	1	3	2	2	0	4	0	0
0	1	0	6	1	1	7	5	15	6	10	3	3	3	2	11	15	8	14	0	7	0	2	0	2	2	7	2	12	1	6	7	4	1	0	9	5	0	0	5	2	4	1	3	6	11	2	0	0	12	2	7	7	6	8	1	11	3	3	3	3	3	5	3	2	12	0	0	0	0	0	3	4	1	1	4	0	1	0	0
1	0	1	4	0	0	5	2	10	6	13	2	2	1	3	11	16	3	9	0	7	0	2	0	3	2	7	12	13	4	6	4	7	1	0	5	9	0	8	5	3	3	7	0	5	15	3	1	1	9	1	8	0	9	5	0	6	2	6	5	2	3	3	2	1	10	3	0	0	0	0	3	2	0	2	2	1	0	1	1
0	2	0	4	2	2	3	1	9	1	7	6	1	1	0	8	12	2	6	0	4	0	0	0	7	1	2	7	10	3	4	11	8	0	0	7	5	0	0	8	1	4	3	0	4	11	2	0	1	9	0	13	4	5	12	2	11	2	6	4	8	3	0	2	2	15	5	0	0	1	0	3	2	1	3	4	0	2	0	1
1	0	1	4	0	1	3	3	8	2	17	4	0	2	2	10	8	4	9	0	6	2	2	0	2	2	2	7	10	2	12	6	5	0	1	4	5	0	1	4	1	5	6	0	11	8	3	0	0	7	0	6	1	5	9	1	11	0	9	1	1	2	2	1	0	7	2	0	0	1	0	2	3	1	2	3	0	0	1	0
0	0	1	1	0	1	4	4	11	3	8	2	0	0	2	13	11	3	5	0	2	0	4	0	4	2	7	5	15	4	5	6	8	0	0	2	3	0	3	7	6	5	4	0	5	4	4	0	0	8	0	7	2	11	9	1	13	3	4	5	4	6	3	1	2	12	3	0	1	0	0	2	4	4	3	5	0	0	1	0
0	3	0	1	2	0	5	4	9	8	7	2	2	1	6	15	9	5	8	0	4	2	0	0	2	2	12	13	7	0	8	7	5	0	0	5	6	0	3	7	2	5	2	1	8	7	3	0	0	11	1	10	1	5	4	2	6	2	14	4	9	7	2	2	5	11	5	0	0	0	0	5	2	1	4	4	0	3	0	0
0	2	0	4	1	1	1	6	11	5	7	2	1	0	3	14	13	5	7	0	7	3	1	0	3	2	11	8	13	3	9	6	2	0	0	9	3	0	5	9	1	3	6	0	4	5	1	0	0	8	0	11	1	7	10	0	4	4	5	1	5	2	1	0	1	11	3	0	0	0	0	2	3	3	4	3	0	1	0	0
1	0	0	5	1	2	4	3	8	4	3	1	0	0	1	12	6	4	10	0	6	0	1	0	1	3	11	3	8	5	5	6	7	1	0	9	1	0	3	5	1	3	7	0	6	4	2	0	0	8	1	4	1	9	1	0	7	1	7	4	5	2	1	2	5	8	5	0	0	0	0	3	1	3	2	2	0	1	0	1
1	0	0	6	0	0	5	3	6	3	4	3	1	0	0	14	4	7	9	0	3	1	3	0	1	2	7	9	4	6	7	5	7	0	0	7	1	0	3	3	0	5	7	0	4	1	4	0	0	8	0	8	0	12	7	0	7	2	9	4	7	2	3	2	4	8	3	0	0	0	0	2	1	2	5	3	0	0	0	1
0	0	0	4	0	1	3	2	12	8	6	1	0	2	0	7	13	4	13	0	4	4	2	0	1	3	3	8	6	2	4	6	3	0	0	6	2	0	2	3	4	1	3	0	10	2	0	0	0	7	2	5	2	13	10	3	5	0	6	3	2	4	2	3	6	5	3	0	0	0	0	5	4	5	4	3	0	0	0	0
0	1	0	8	0	0	5	2	15	5	2	5	1	3	0	12	8	4	10	0	2	3	0	0	4	1	5	4	5	2	7	8	3	1	0	10	4	0	5	3	3	1	5	0	10	4	2	0	0	4	0	10	3	5	5	0	5	2	6	10	2	3	4	1	1	10	2	0	0	0	0	4	0	1	0	2	0	0	0	0
0	1	0	5	0	0	3	0	10	6	4	4	1	0	1	6	7	6	11	0	6	0	2	0	2	2	13	8	6	3	8	5	6	1	0	4	6	0	4	4	4	0	3	0	7	3	5	0	0	8	0	5	3	5	10	0	7	0	6	8	3	3	1	4	5	7	2	0	0	0	0	6	1	3	1	4	1	2	0	0
1	1	0	3	0	2	3	0	7	7	6	2	0	0	2	15	8	5	9	0	9	0	2	0	0	1	4	7	2	1	11	5	3	0	0	7	3	0	3	2	4	1	2	0	2	1	5	0	1	6	0	9	1	10	8	1	2	3	8	6	8	5	1	1	3	7	3	0	0	0	0	5	3	1	6	3	0	1	0	0
0	1	0	5	0	0	2	3	6	8	5	7	1	0	2	9	9	3	10	0	7	0	1	0	2	1	6	8	5	3	12	4	6	0	0	0	2	0	3	1	4	2	9	0	11	1	3	0	0	10	2	14	0	7	10	0	4	3	10	7	7	5	3	2	7	7	0	0	0	0	0	6	5	3	1	2	0	1	0	1
0	0	0	6	1	0	4	1	8	9	3	2	0	0	0	8	7	3	13	0	8	0	3	0	3	3	4	7	3	1	6	6	2	0	0	7	0	0	2	4	2	1	8	0	10	0	1	0	0	8	0	8	0	10	5	0	3	0	6	10	7	2	5	6	3	7	2	0	0	0	0	6	5	4	3	1	0	0	0	0
0	1	1	6	0	0	2	0	6	9	5	2	1	1	1	9	6	4	9	0	4	0	0	0	2	0	6	9	4	4	7	4	7	0	0	2	0	0	1	4	1	2	3	0	8	2	3	0	0	5	0	7	1	8	9	0	3	2	10	3	4	4	3	2	6	7	3	0	0	0	0	3	2	2	3	3	0	1	1	0
0	3	0	4	0	0	3	2	4	6	8	1	0	1	2	12	7	8	6	0	5	1	4	0	1	1	3	2	3	3	7	4	6	0	0	1	2	0	2	4	1	3	8	0	6	2	3	0	0	3	1	3	0	7	9	0	2	4	8	3	5	3	2	6	5	5	1	0	0	0	0	3	5	2	5	3	0	3	0	0
0	0	0	7	2	0	5	2	2	10	4	2	0	3	3	5	7	4	7	0	3	1	1	0	0	2	8	8	3	3	9	3	4	0	1	9	2	0	5	6	4	3	6	0	3	0	0	0	0	7	1	8	2	7	6	0	3	6	12	6	5	3	2	3	4	6	2	0	0	0	0	9	3	1	1	4	0	0	0	0
0	2	0	3	2	1	0	0	5	9	3	3	0	2	0	3	5	7	9	0	5	0	2	0	0	2	10	6	6	3	4	6	2	0	1	3	2	0	8	4	4	5	7	0	9	3	3	0	0	6	0	14	0	7	5	0	4	1	8	6	8	1	2	2	8	4	6	0	0	0	0	4	0	5	2	2	0	2	0	0
0	1	0	5	2	0	1	3	12	9	1	4	1	5	0	7	4	5	10	0	3	3	1	0	1	2	6	2	4	3	5	3	10	0	0	7	1	0	4	5	3	3	7	0	13	0	2	0	0	6	0	4	0	2	8	0	4	5	9	9	2	2	4	3	4	5	2	0	0	0	0	4	7	2	1	3	0	1	0	0
0	2	0	3	0	1	2	3	4	5	3	1	1	2	1	8	5	4	9	0	4	0	2	0	1	1	5	4	2	3	9	3	2	0	0	2	2	0	1	5	5	0	4	1	5	0	0	0	0	4	0	3	0	7	6	0	1	7	9	9	5	3	3	5	6	6	5	0	0	0	0	5	5	6	2	4	0	2	0	0
0	1	0	3	0	1	4	0	9	3	4	3	0	0	1	7	2	9	7	0	2	0	1	0	1	2	7	4	4	2	7	3	7	0	0	3	2	0	4	1	1	0	7	0	7	1	3	0	0	3	1	10	0	6	3	0	3	4	5	4	8	6	4	2	4	5	1	0	0	0	1	2	5	5	2	6	0	1	0	0
0	0	0	5	2	0	1	2	3	5	0	3	0	0	3	5	6	4	6	0	8	0	3	0	0	0	5	4	4	1	7	1	4	0	0	11	3	0	2	2	11	3	5	0	8	0	2	0	0	1	0	8	0	7	4	0	4	4	4	8	6	7	1	3	1	3	2	0	0	0	0	10	3	5	0	5	0	0	0	0
0	0	0	3	1	1	0	3	5	11	4	1	0	1	1	8	5	4	7	0	3	2	2	0	2	2	5	5	3	2	7	1	4	0	2	4	0	0	3	5	4	2	2	0	7	1	2	0	0	4	2	5	1	6	9	0	8	2	10	4	6	5	6	2	5	5	1	0	0	0	0	3	1	2	2	4	0	0	0	0
0	2	0	8	0	0	1	1	9	7	2	4	0	0	1	6	7	6	10	0	0	0	2	0	0	1	5	3	0	2	9	1	2	0	0	2	1	0	5	3	2	0	8	0	13	0	2	0	0	6	0	3	0	6	5	0	2	1	5	4	8	3	6	2	4	3	6	0	0	0	0	4	3	4	3	2	0	2	0	0
0	3	0	3	0	2	2	2	10	5	0	1	0	3	1	13	2	1	9	0	2	2	1	0	1	0	5	2	4	1	6	2	3	0	0	1	1	0	1	2	6	1	6	0	10	0	0	0	0	5	0	10	0	5	8	0	2	2	7	5	4	2	2	4	11	3	5	0	0	0	0	8	4	4	4	2	0	3	0	0
0	1	0	4	0	0	2	0	11	5	4	1	0	2	1	11	6	7	8	0	2	1	5	0	0	2	2	4	0	2	4	2	6	0	0	5	0	0	3	2	2	0	5	0	7	0	2	0	0	2	1	3	0	7	6	0	3	3	8	10	6	2	6	3	5	1	5	0	0	0	0	3	8	6	1	1	0	1	0	0
0	1	0	5	1	0	1	3	6	2	0	1	0	2	2	18	2	8	6	0	1	0	1	0	1	0	4	1	3	8	5	2	5	0	0	4	1	0	4	0	2	0	5	0	5	0	0	0	0	5	0	3	0	11	7	0	1	2	5	3	4	3	5	1	9	4	3	0	0	0	0	4	8	3	2	6	0	2	0	0
0	3	0	1	0	1	5	5	9	6	1	2	0	0	0	8	4	4	4	0	3	0	0	0	0	2	3	6	0	5	6	5	2	0	1	1	4	0	2	3	7	0	6	0	8	1	1	0	0	4	1	10	0	11	2	1	0	2	12	4	2	3	9	4	7	2	6	0	0	0	0	2	3	2	4	3	0	2	0	0
0	0	0	5	0	2	0	3	5	6	1	1	0	0	1	6	7	3	10	0	3	2	2	0	4	2	3	4	1	7	7	2	6	0	0	4	1	0	2	5	5	1	4	0	2	1	0	0	0	1	1	6	0	10	3	0	4	3	1	9	5	6	5	2	5	4	1	0	0	0	0	4	5	3	3	2	0	0	0	0
0	1	0	6	1	0	1	1	2	3	0	2	0	1	0	6	2	5	8	0	2	1	1	0	0	2	1	4	1	5	11	2	9	0	0	4	1	0	4	3	0	2	4	0	9	0	1	0	0	6	0	2	0	6	6	0	0	5	6	7	7	8	6	4	7	2	1	0	0	0	0	7	4	1	1	2	0	1	0	0
0	2	0	2	1	2	3	2	6	5	0	1	0	1	2	6	2	8	7	0	2	0	2	0	1	1	5	4	2	8	13	4	4	0	0	1	1	0	2	8	6	0	4	0	7	1	2	0	0	3	1	9	0	3	3	0	1	7	5	13	7	2	5	2	4	2	7	0	0	0	0	8	5	3	3	3	0	2	0	0
0	0	0	7	1	1	1	0	8	10	2	0	0	0	0	5	6	4	7	0	3	0	0	0	0	2	3	7	5	6	8	1	5	0	0	7	0	0	0	5	3	2	3	0	9	0	2	0	0	5	0	4	0	7	4	0	0	3	6	5	5	1	6	5	7	2	4	0	0	0	0	3	6	4	5	4	0	0	0	0
0	2	0	6	0	4	2	1	12	9	1	0	0	1	2	7	2	9	12	0	4	1	2	0	0	2	1	2	1	2	4	2	2	0	1	0	0	0	2	1	2	1	6	0	7	0	1	0	0	1	0	8	2	2	2	0	5	6	5	7	7	1	5	2	6	2	3	0	0	0	0	5	2	2	1	3	0	2	0	0
0	0	0	5	0	2	3	2	4	3	2	1	0	0	0	12	2	6	8	0	2	0	2	0	1	2	1	2	1	7	7	0	3	0	0	0	0	0	1	2	1	0	2	0	7	0	0	0	0	2	1	10	0	1	1	0	0	4	5	5	6	3	10	3	7	2	5	0	0	0	0	4	7	3	3	2	0	1	0	0
0	3	0	7	3	3	0	2	7	6	1	1	0	1	1	4	2	4	6	0	2	0	1	0	0	1	2	4	3	3	2	1	3	0	0	4	0	0	1	2	4	0	3	0	10	0	0	1	0	0	0	2	0	10	4	0	3	3	6	4	4	0	2	1	9	2	1	0	0	0	0	6	2	6	3	5	0	3	0	0
0	2	0	5	0	0	3	4	8	6	0	2	0	1	2	1	3	2	7	0	3	2	2	0	0	1	5	1	1	9	3	1	1	0	0	1	1	0	2	3	7	1	6	0	6	0	0	0	0	1	1	8	0	4	2	0	2	3	2	10	2	3	4	1	5	3	3	0	0	0	0	6	2	7	4	2	0	1	0	0
0	1	0	3	2	1	1	5	2	4	0	0	0	4	5	5	4	4	8	0	2	1	0	0	0	4	2	4	1	4	6	1	7	0	0	2	0	0	0	1	4	2	1	0	5	0	0	0	0	1	0	6	0	3	2	0	2	5	8	4	3	2	10	2	7	0	1	0	0	0	0	3	3	6	2	2	0	1	0	0
0	1	0	1	1	1	2	1	2	6	1	1	0	1	3	7	1	4	10	0	4	3	1	0	0	1	2	2	0	2	3	2	1	0	0	6	1	0	1	2	2	1	6	0	10	0	0	0	0	2	0	4	0	4	5	0	1	5	3	5	4	3	5	1	11	2	0	0	0	0	0	3	5	5	2	1	0	1	0	0
0	1	0	3	0	2	1	1	6	10	0	1	0	1	2	4	1	9	12	0	3	1	0	0	0	0	3	5	3	3	6	0	4	0	0	1	1	0	2	1	3	1	5	0	8	0	1	0	0	4	0	8	0	5	3	0	0	4	4	4	2	5	6	0	6	1	3	0	0	0	0	5	3	1	3	8	0	1	0	0
0	1	0	1	1	2	6	3	1	5	1	0	0	2	2	4	3	8	13	0	2	1	1	0	0	0	4	3	2	6	4	3	0	0	0	4	0	0	4	1	0	0	6	0	7	0	0	0	0	0	1	4	0	3	0	0	1	3	3	10	3	6	8	3	6	2	7	0	0	0	0	8	3	3	4	2	0	1	0	0
0	1	0	2	2	0	4	2	3	5	0	1	0	2	4	5	2	3	3	0	3	1	3	0	1	3	2	1	0	3	7	0	0	0	0	3	2	0	3	2	2	1	7	0	10	0	0	0	0	1	0	4	0	5	3	0	1	3	9	7	3	2	6	2	9	2	4	0	0	0	0	2	1	4	3	4	0	1	0	0
0	1	0	0	1	1	2	3	4	4	1	1	0	1	3	6	5	4	4	0	2	1	3	0	0	0	6	3	0	3	5	1	0	0	0	2	4	0	7	2	4	0	5	0	5	1	0	0	0	2	1	7	0	2	2	0	0	4	3	4	3	4	6	0	6	1	3	0	0	0	0	1	2	4	3	10	0	1	0	0
0	0	0	3	0	0	0	2	3	4	2	2	0	0	3	5	0	5	8	0	4	1	2	0	0	1	2	0	2	2	7	2	0	0	0	2	0	0	2	1	1	1	4	0	2	1	1	0	0	0	1	8	0	2	3	0	2	1	2	6	3	4	7	1	8	0	5	0	0	0	0	2	2	4	4	2	0	0	0	0
0	0	0	2	2	0	1	0	3	4	1	0	0	0	2	5	0	5	4	0	1	2	0	0	0	0	1	1	2	4	6	1	0	0	0	2	0	0	0	3	2	0	7	0	8	0	0	0	0	1	0	9	0	9	2	0	2	4	2	8	4	2	17	1	12	3	3	0	0	0	0	5	6	3	4	1	0	0	0	0
0	1	0	6	1	2	1	1	3	4	1	0	0	0	3	1	1	5	4	0	3	0	1	0	1	0	1	2	2	9	5	2	0	0	0	4	0	0	0	3	4	1	3	0	2	0	0	0	0	1	0	5	0	6	5	0	1	6	2	5	5	3	9	3	6	2	3	0	0	0	0	3	2	9	2	6	0	1	0	0
0	2	0	0	0	1	0	1	4	5	0	0	0	0	2	4	2	2	8	0	1	1	0	0	0	2	3	1	1	7	8	2	0	0	0	3	0	0	2	0	3	1	3	0	7	0	1	0	0	2	1	10	0	1	5	0	1	4	3	6	6	2	7	0	13	0	1	0	0	0	0	5	1	3	6	2	0	2	0	0
0	0	0	4	1	1	2	2	4	3	0	1	0	0	6	5	2	7	5	0	2	0	0	0	0	1	2	1	0	6	10	2	2	0	0	2	0	0	1	0	3	0	4	0	4	0	2	0	0	2	1	2	1	5	0	0	0	1	6	3	4	3	10	0	7	1	3	0	0	0	0	2	3	3	3	5	0	1	0	0
0	2	0	5	1	2	0	4	5	4	0	1	0	0	1	1	1	5	8	0	3	4	0	0	0	2	2	1	2	6	3	1	2	0	0	2	0	0	2	1	1	0	5	0	3	0	0	0	0	1	0	5	0	3	5	0	2	3	3	4	2	2	5	1	8	0	4	0	0	0	0	3	5	4	3	5	0	1	0	0
0	2	0	4	0	1	1	4	3	4	2	0	0	0	0	6	3	8	6	0	1	2	0	0	0	3	6	2	1	2	4	0	3	0	0	4	0	0	1	3	0	0	4	0	4	0	0	0	0	0	0	3	0	4	2	0	2	4	8	5	2	2	5	1	10	2	4	0	0	0	0	3	3	3	5	5	0	2	0	0
0	0	0	2	0	1	4	3	7	4	0	0	0	0	3	5	0	4	3	0	2	0	1	0	0	1	0	6	2	5	9	0	1	0	0	0	0	0	0	2	3	0	4	0	6	0	1	0	0	1	1	2	0	1	0	0	1	5	3	2	2	3	4	1	7	1	5	0	0	0	0	3	3	3	1	0	0	0	0	0
0	0	0	2	0	3	1	3	3	2	1	2	0	1	2	6	1	3	7	0	1	0	0	0	0	2	4	1	1	2	6	0	1	0	0	1	0	0	0	2	4	0	3	0	4	0	0	0	0	3	1	6	0	3	4	0	1	9	3	2	4	4	2	2	6	0	4	0	0	0	0	8	1	2	3	5	0	0	0	0
0	1	0	4	2	2	1	3	10	2	0	1	0	0	3	6	1	8	8	0	2	0	0	0	0	1	0	4	1	3	3	0	2	0	0	1	0	0	2	3	2	1	1	0	3	0	0	0	0	1	0	3	0	4	2	0	2	2	6	5	1	1	4	1	8	2	4	0	0	0	0	6	5	0	1	1	0	2	0	0
0	2	0	2	1	0	0	2	2	6	0	0	0	0	2	6	2	3	4	0	2	1	1	0	0	1	2	2	1	2	6	0	2	0	0	1	0	0	0	1	4	0	3	0	4	0	0	0	0	2	0	8	1	3	4	0	3	0	3	5	3	3	11	3	7	2	0	0	0	0	0	6	5	2	2	5	0	1	0	0
0	0	0	2	1	0	5	2	3	5	0	0	0	1	2	6	2	2	8	0	0	0	3	0	0	2	1	3	0	4	0	0	1	0	0	1	1	0	0	2	4	0	4	0	5	0	0	0	0	0	0	7	0	8	2	0	0	8	9	7	3	1	4	0	12	0	6	0	0	0	0	6	3	2	1	5	0	0	0	0
0	0	0	3	0	3	0	2	3	3	0	0	0	0	0	4	1	2	5	0	1	2	0	0	2	4	2	5	2	5	8	0	1	0	0	1	0	0	1	1	4	0	2	0	0	0	0	0	0	1	0	2	0	7	1	0	2	4	1	0	3	3	3	3	12	1	1	0	0	0	0	3	2	4	2	2	0	0	0	0
0	1	0	4	0	1	1	2	1	4	0	0	0	1	1	1	0	3	4	0	1	1	0	0	1	1	0	2	1	1	3	1	0	0	0	2	0	0	1	2	1	0	0	0	4	0	0	0	0	2	1	1	0	2	0	0	0	4	0	6	2	4	1	2	9	2	6	0	0	0	0	4	4	2	2	3	0	1	0	0
0	1	0	0	0	2	0	0	2	1	0	0	0	0	2	1	1	2	6	0	0	1	0	0	0	1	2	2	0	6	9	4	4	0	0	0	0	0	1	0	0	0	0	0	4	0	2	0	0	0	0	9	0	4	1	0	0	4	3	6	4	1	2	2	6	0	6	0	0	0	0	5	4	3	2	3	0	0	0	0
0	0	0	2	0	0	2	1	3	2	0	0	0	0	2	5	2	7	4	0	1	1	0	0	1	1	1	2	2	1	6	0	0	0	0	3	0	0	1	0	4	0	4	0	4	0	0	0	0	1	2	3	0	1	3	0	0	4	3	4	3	2	5	1	10	1	2	0	0	0	0	4	3	3	2	2	0	2	0	0
0	4	0	0	0	2	1	2	5	4	1	0	0	0	1	2	2	3	3	0	0	1	1	0	0	1	2	0	1	3	8	0	1	0	0	1	1	0	1	2	1	0	1	0	2	0	0	0	0	1	1	4	0	3	1	0	0	5	7	4	0	0	3	2	8	0	5	0	0	0	0	1	2	1	4	3	0	3	0	0
