Plasmid_17	Plasmid_17_noise	Plasmid_17_expression	Plasmid_17_mixture
0.6641195255474452	0.5976688250524216	0.06127664697915114	0.6589454720315727
0.16309306569343066	0.14778430337062293	0.030483468898142366	0.17826777226876528
0.05611313868613139	0.03987025414338029	0.017221028123389853	0.05709128226677014
0.023494525547445255	0.01062367335448625	0.011233003181651146	0.021856676536137393
0.012887773722627737	0.002792282735102921	0.008239411511084697	0.011031694246187619
0.007755474452554745	0.0007256015339167922	0.00652704864298558	0.007252650176902371
0.005246350364963503	0.00018681101490309988	0.005418517202835516	0.005605328217738614
0.004447992700729927	4.772868008888977e-5	0.004631296926535882	0.004679025606624772
0.0051322992700729925	1.2116268973652694e-5	0.004035884787952375	0.004048001056926026
0.00479014598540146	3.0590579358705072e-6	0.0035659491432835353	0.003569008201219405
0.0034215328467153286	7.687109031586365e-7	0.0031837709763218843	0.0031845396872250417
0.0030793795620437958	1.9237839037344572e-7	0.002865991204499427	0.002866183582889799
0.0029653284671532845	4.797108501285712e-8	0.0025971757358495226	0.0025972237069345366
0.002737226277372263	1.192360024335622e-8	0.0023666200916922253	0.002366632015292469
0.002052919708029197	2.9551903210797095e-9	0.0021666194638438273	0.0021666224190341477
0.0026231751824817517	7.305272754133737e-10	0.0019914628196730073	0.0019914635502002826
0.0028512773722627737	1.8016270729162373e-10	0.0018368140352737928	0.001836814215436499
0.002166970802919708	4.433642846727722e-11	0.0016993138227946378	0.0016993138671310662
0.0015967153284671533	1.0889343842943868e-11	0.0015763143644210522	0.0015763143753103968
0.002052919708029197	2.6696594750026175e-12	0.0014656971202744306	0.0014656971229440906
0.0005702554744525547	6.53405639050302e-13	0.0013657445831535024	0.0013657445838069074
0.0012545620437956204	1.5967447763372924e-13	0.0012750480433698609	0.0012750480435295356
0.00034215328467153286	3.896374016489774e-14	0.0011924399901102128	0.0011924399901491766
0.0005702554744525547	9.495113570920801e-15	0.001116943734153694	0.0011169437341631888
0.0012545620437956204	2.310955909702011e-15	0.0010477352995446581	0.0010477352995469694
0.0006843065693430657	5.6178351409887e-16	0.0009841142056442019	0.000984114205644763
