Plasmid_11	Plasmid_11_noise	Plasmid_11_expression	Plasmid_11_mixture
0.7882261005470175	0.5785461756963324	0.20972247261242444	0.7882686483087569
0.12190674654858036	0.07390773387912483	0.04841221821322536	0.12231995209235019
0.03086741338890336	0.011618288437878559	0.018346301849515842	0.0299645902873944
0.011070591299817661	0.001879239817284174	0.01015360642890108	0.012032846246185254
0.007423808283407138	0.00030738577765997404	0.006973009426696271	0.007280395204356245
0.004688721021099245	5.054593068616341e-5	0.00529562976748971	0.005346175698175874
0.004297994269340974	8.33515319508509e-6	0.004229395127364559	0.004237730280559644
0.003386298515238343	1.376697480315713e-6	0.003480207954548103	0.0034815846520284185
0.003386298515238343	2.276013825088903e-7	0.0029224710478167625	0.002922698649199271
0.0024746027611357124	3.764923793277986e-8	0.0024912051313705553	0.0024912427806084883
0.0028653295128939827	6.229890185731036e-9	0.002148442182014292	0.002148448411904478
0.003256056264652253	1.0310568712110568e-9	0.00187020520917422	0.0018702062402310912
0.002214118259963532	1.7065556614266133e-10	0.0016405127764010559	0.001640512947056622
0.0015629070070330815	2.8246563318231063e-11	0.0014482696206181698	0.001448269648864733
0.0018233915082052619	4.675187050786093e-12	0.0012855181838324168	0.0012855181885076039
0.00039072675175827037	7.737623682076913e-13	0.0011463961659366874	0.0011463961667104497
0.0014326647564469914	1.2805090292467645e-13	0.0010264861515421762	0.0010264861516702272
0.0009116957541026309	2.118937741534918e-14	0.0009223945388766406	0.00092239453889783
0.00026048450117218026	3.505987565665848e-15	0.0008314702886497	0.000831470288653206
0.0009116957541026309	5.80038374630471e-16	0.0007516119619199296	0.0007516119619205096
0.00026048450117218026	9.59524024886082e-17	0.0006811322044973366	0.0006811322044974325
0.0007814535035165407	1.5871102088719816e-17	0.000618660599275049	0.0006186605992750648
0.0009116957541026309	2.6248850822976353e-18	0.0005630727411096874	0.00056307274110969
0.00039072675175827037	4.340759664658696e-19	0.0005134376043206319	0.0005134376043206323
0.00026048450117218026	7.1775125510636e-20	0.0004689779072288202	0.00046897790722882026
0.00026048450117218026	1.1866856429631919e-20	0.0004290398651725509	0.0004290398651725509
0	1.9617867424871637e-21	0.0003930698277573226	0.0003930698277573226
0.00013024225058609013	3.242823020908939e-22	0.00036059603345663224	0.00036059603345663224
0	5.359830677008298e-23	0.00033121421596686714	0.00033121421596686714
0.00039072675175827037	8.858013225546824e-24	0.000304576143162724	0.000304576143162724
0.00039072675175827037	1.4637944246423474e-24	0.0002803804125661213	0.0002803804125661213
0	2.418708019915653e-25	0.00025836500016099154	0.00025836500016099154
0	3.996202316160785e-26	0.00023830118398922122	0.00023830118398922122
0.00026048450117218026	6.601964989542476e-27	0.00021998855482241456	0.00021998855482241456
0.00013024225058609013	1.0905905614064732e-27	0.00020325089319337815	0.00020325089319337815
0	1.8014160918107806e-28	0.00018793274197194819	0.00018793274197194819
0.00013024225058609013	2.9753024338521574e-29	0.00017389654120006687	0.00017389654120006687
0	4.91375995372672e-30	0.0001610202203826238	0.0001610202203826238
0.00026048450117218026	8.114531099815637e-31	0.00014919516522847288	0.00014919516522847288
0	1.33992502868426e-31	0.00013832449265164983	0.00013832449265164983
0.00013024225058609013	2.2124120870557714e-32	0.00012832158091233246	0.00012832158091233246
0.00039072675175827037	3.6527575194208016e-33	0.0001191088120070138	0.0001191088120070138
0.00013024225058609013	6.030395258050909e-34	0.00011061649147825917	0.00011061649147825917
0.00013024225058609013	9.955008054162435e-35	0.00010278191720644765	0.00010278191720644765
0	1.6432707119704032e-35	9.55485738450278e-5	9.55485738450278e-5
0.00013024225058609013	2.7123704803069956e-36	8.88654336517575e-5	8.88654336517575e-5
0.00013024225058609013	4.476741374567272e-37	8.268634776828921e-5	8.268634776828921e-5
0	7.38837254418949e-38	7.696951467599909e-5	7.696951467599909e-5
0	1.219298409654096e-38	7.167701473594381e-5	7.167701473594381e-5
0.00013024225058609013	2.0120849113564967e-39	6.677440150537588e-5	6.677440150537588e-5
0	3.320154458017634e-40	6.22303419906348e-5	6.22303419906348e-5
0.00013024225058609013	5.478309303758023e-41	5.801629920798888e-5	5.801629920798888e-5
0.00013024225058609013	9.038818280341514e-42	5.410625142876527e-5	5.410625142876527e-5
0	1.491262705545262e-42	5.047644332150061e-5	5.047644332150061e-5
0	2.4602236196267454e-43	4.71051649027017e-5	4.71051649027017e-5
0	4.0585737994574233e-44	4.397255479385275e-5	4.397255479385275e-5
